src,dst,bw_mb
nginx-web-server,user-service,1
nginx-web-server,text-service,1
nginx-web-server,unique-id-service,1
nginx-web-server,movie-id-service,1
user-service,user-mongodb,1
user-service,user-memcached,1
movie-id-service,movie-id-mongodb,1
movie-id-service,movie-id-memcached,1
compose-review-service,compose-review-memcached,1
text-service,compose-review-service,1
user-service,compose-review-service,1
movie-id-service,compose-review-service,1
movie-id-service,rating-service,1
rating-service,rating-redis,1
rating-service,compose-review-service,1
compose-review-service,review-storage-service,
compose-review-service,user-review-service,1
compose-review-service,movie-review-service,1
review-storage-service,review-storage-mongodb,1
review-storage-service,review-storage-memcached,1
review-storage-service,user-review-service,1
user-review-service,user-review-mongodb,1
user-review-service,user-review-redis,1
movie-review-service,movie-review-redis,1
movie-review-service,movie-review-mongodb,1
page-service,movie-review-service,1
